region,crop,hr,Shortage_%,xland,p,y,xlandsc,xwater,xwatersc,grev,grevsc,iterations,statussc,lambdawater
PA-201,Almonds & Pistachios,Sacramento River,0.5,438.2654762,4587.35172,0.684,237.25066224404716,1583.7479735484756,814.4789142563404,1375166.8740668793,744432.9277251962,8,Good,624.3305486274845
PA-201,Grain,Sacramento River,0.5,866.6494883,210.012249,3.226,651.6171825624739,683.8407331926471,488.4584291237814,587154.6082357102,441470.32533028565,8,Good,624.3305486274845
PA-201,Safflower,Sacramento River,0.5,143.5234964,529.2418762,0.982,3.1043500705124055e-21,338.2859539964591,3.4813840325472152e-09,74591.38891227658,1.613378918696995e-18,8,Good,624.3305486274845
PA-201,Almonds & Pistachios,Sacramento River,0.55,438.2654762,4587.35172,0.684,257.9332708971702,1583.7479735484756,885.4820823519855,1375166.8740668793,809329.7535844259,3,Good,594.7136524630165
PA-201,Grain,Sacramento River,0.55,866.6494883,210.012249,3.226,730.712453166081,683.8407331926471,547.7489952684094,587154.6082357102,495057.33282469533,3,Good,594.7136524630165
PA-201,Safflower,Sacramento River,0.55,143.5234964,529.2418762,0.982,1.0649480401962372e-17,338.2859539964591,5.1219594858963904e-08,74591.38891227658,5.534700270696881e-15,3,Good,594.7136524630165
PA-201,Almonds & Pistachios,Sacramento River,0.6,438.2654762,4587.35172,0.684,278.66331443796497,1583.7479735484756,956.6480937904852,1375166.8740668793,874375.4181949232,14,Good,561.30704466082
PA-201,Grain,Sacramento River,0.6,866.6494883,210.012249,3.226,809.5904866050201,683.8407331926471,606.8767182662448,587154.6082357102,548497.162245343,14,Good,561.30704466082
PA-201,Safflower,Sacramento River,0.6,143.5234964,529.2418762,0.982,1.3195210352845829e-20,338.2859539964591,4.8712650547163865e-09,74591.38891227658,6.857755642081902e-18,14,Good,561.30704466082
PA-201,Almonds & Pistachios,Sacramento River,0.65,438.2654762,4587.35172,0.684,302.26527528978147,1583.7479735484756,1037.6733658258554,1375166.8740668793,948432.4372598471,2,Good,518.138430844815
PA-201,Grain,Sacramento River,0.65,866.6494883,210.012249,3.226,875.3159909269147,683.8407331926471,656.1451805682117,587154.6082357102,593026.1595645656,2,Good,518.138430844815
PA-201,Safflower,Sacramento River,0.65,143.5234964,529.2418762,0.982,6.001221880715685e-22,338.2859539964591,6.001221880716452e-09,74591.38891227658,3.1189281649448973e-19,2,Good,518.138430844815
PA-201,Almonds & Pistachios,Sacramento River,0.7,438.2654762,4587.35172,0.684,340.2187128391313,1583.7479735484756,1167.9670995910858,1375166.8740668793,1067520.781902842,11,Good,435.2988108786345
PA-201,Grain,Sacramento River,0.7,866.6494883,210.012249,3.226,875.3159914536805,683.8407331926471,656.1451810268403,587154.6082357102,593026.1599214493,11,Good,435.2988108786345
PA-201,Safflower,Sacramento River,0.7,143.5234964,529.2418762,0.982,3.676372471266028e-17,338.2859539964591,6.069187701101045e-08,74591.38891227658,1.9106678395454115e-14,11,Good,435.2988108786345
PA-201,Almonds & Pistachios,Sacramento River,0.75,438.2654762,4587.35172,0.684,378.17215054207423,1583.7479735484756,1298.2608337667161,1375166.8740668793,1186609.1270277735,5,Good,332.4351490453564
PA-201,Grain,Sacramento River,0.75,866.6494883,210.012249,3.226,875.3159918748228,683.8407331926471,656.1451812894129,587154.6082357102,593026.160206773,5,Good,332.4351490453564
PA-201,Safflower,Sacramento River,0.75,143.5234964,529.2418762,0.982,1.3771112863457542e-21,338.2859539964591,1.3771112863457587e-08,74591.38891227658,7.157061116252295e-19,5,Good,332.4351490453564
PA-201,Almonds & Pistachios,Sacramento River,0.8,438.2654762,4587.35172,0.684,416.1255881603616,1583.7479735484756,1428.5545677243406,1375166.8740668793,1305697.4718870772,2,Good,204.70722253565032
PA-201,Grain,Sacramento River,0.8,866.6494883,210.012249,3.226,875.3159918988956,683.8407331926471,656.1451813269504,587154.6082357102,593026.1602230823,2,Good,204.70722253565032
PA-201,Safflower,Sacramento River,0.8,143.5234964,529.2418762,0.982,1.3184548685824707e-07,338.2859539964591,3.413630021508673e-07,74591.38891227658,6.852214608236061e-05,2,Good,204.70722253565032
PA-201,Almonds & Pistachios,Sacramento River,0.85,438.2654762,4587.35172,0.684,422.9046448385753,1583.7479735484756,1451.8269947608342,1375166.8740668793,1326968.4473290194,2,Good,178.83747342306316
PA-201,Grain,Sacramento River,0.85,866.6494883,210.012249,3.226,875.3159918970968,683.8407331926471,656.1451813407078,587154.6082357102,593026.1602218635,2,Good,178.83747342306316
PA-201,Safflower,Sacramento River,0.85,143.5234964,529.2418762,0.982,47.79535501141755,338.2859539964591,107.02130761776935,74591.38891227658,24839.987899409713,2,Good,178.83747342306316
PA-201,Almonds & Pistachios,Sacramento River,0.9,438.2654762,4587.35172,0.684,422.9181279978355,1583.7479735484756,1451.873282290888,1375166.8740668793,1327010.7540927946,2,Good,178.78501666990414
PA-201,Grain,Sacramento River,0.9,866.6494883,210.012249,3.226,875.3159919016448,683.8407331926471,656.1451813367073,587154.6082357102,593026.1602249449,2,Good,178.78501666990414
PA-201,Safflower,Sacramento River,0.9,143.5234964,529.2418762,0.982,105.96342548858381,338.2859539964591,237.26875443825242,74591.38891227658,55070.837036102166,2,Good,178.78501666990414
PA-201,Almonds & Pistachios,Sacramento River,0.95,438.2654762,4587.35172,0.684,437.0737641085086,1583.7479735484756,1510.4566771469244,1375166.8740668793,1371427.5811482281,2,Good,13.939596754278059
PA-201,Grain,Sacramento River,0.95,866.6494883,210.012249,3.226,875.3159914279029,683.8407331926471,660.4898064433046,587154.6082357102,593026.159903985,2,Good,13.939596754278059
PA-201,Safflower,Sacramento River,0.95,143.5234964,529.2418762,0.982,136.04871982334308,338.2859539964591,304.6344682125347,74591.38891227658,70706.63149870376,2,Good,13.939596754278059
PA-201,Almonds & Pistachios,Sacramento River,1.0,438.2654762,4587.35172,0.684,438.26530655569064,1583.7479735484756,1583.736233699767,1375166.8740668793,1375166.341765689,2,Good,0.0019474964536519343
PA-201,Grain,Sacramento River,1.0,866.6494883,210.012249,3.226,866.6577007746134,683.8407331926471,683.8424060159182,587154.6082357102,587160.17218328,2,Good,0.0019474964536519343
PA-201,Safflower,Sacramento River,1.0,143.5234964,529.2418762,0.982,143.5154680314056,338.2859539964591,338.26413510008484,74591.38891227658,74587.21644449829,2,Good,0.0019474964536519343
PA-502,Almonds & Pistachios,Sacramento River,0.5,32.60965224,4899.886629,0.738,11.176469585934166,117.8406090778923,38.368697234935965,117920.29605249154,40415.41420605546,2,Good,1000.1708804776241
PA-502,Vineyard,Sacramento River,0.5,16.85103927,1742.211218,9.614595983,16.996426007660506,44.853276104549536,42.97824610746158,282265.9785366053,284701.3019083244,2,Good,1000.1708804776241
PA-502,Almonds & Pistachios,Sacramento River,0.55,32.60965224,4899.886629,0.738,13.54603474691344,117.8406090778923,46.50338837250313,117920.29605249154,48984.03748488947,2,Good,1000.1676546306785
PA-502,Vineyard,Sacramento River,0.55,16.85103927,1742.211218,9.614595983,16.99642727429879,44.853276104549536,42.978249310363665,282265.9785366053,284701.3231253478,2,Good,1000.1676546306785
PA-502,Almonds & Pistachios,Sacramento River,0.6,32.60965224,4899.886629,0.738,15.915599721215163,117.8406090778923,54.6380788692083,117920.29605249154,57552.660088675744,2,Good,1000.1637862934222
PA-502,Vineyard,Sacramento River,0.6,16.85103927,1742.211218,9.614595983,16.99642879437605,44.853276104549536,42.978253154127714,282265.9785366053,284701.3485876406,2,Good,1000.1637862934222
PA-502,Almonds & Pistachios,Sacramento River,0.65,32.60965224,4899.886629,0.738,18.285164472066462,117.8406090778923,62.7727685988106,117920.29605249154,66121.28188443929,2,Good,1000.1591474097454
PA-502,Vineyard,Sacramento River,0.65,16.85103927,1742.211218,9.614595983,16.996430617816273,44.853276104549536,42.978257764994666,282265.9785366053,284701.3791314623,2,Good,1000.1591474097454
PA-502,Almonds & Pistachios,Sacramento River,0.7,32.60965224,4899.886629,0.738,20.654728955087577,117.8406090778923,70.90745740895476,117920.29605249154,74689.90271169774,2,Good,1000.1535844183691
PA-502,Vineyard,Sacramento River,0.7,16.85103927,1742.211218,9.614595983,16.99643280487076,44.853276104549536,42.97826329531978,282265.9785366053,284701.4157660618,2,Good,1000.1535844183691
PA-502,Almonds & Pistachios,Sacramento River,0.75,32.60965224,4899.886629,0.738,23.02429311691151,117.8406090778923,79.04214511643244,117920.29605249154,83258.52237746981,2,Good,1000.1469131377032
PA-502,Vineyard,Sacramento River,0.75,16.85103927,1742.211218,9.614595983,16.996435427992203,44.853276104549536,42.978269928311484,282265.9785366053,284701.4597050693,2,Good,1000.1469131377032
PA-502,Almonds & Pistachios,Sacramento River,0.8,32.60965224,4899.886629,0.738,25.393856893355256,117.8406090778923,87.17683150090396,117920.29605249154,91827.14064966228,2,Good,1000.1389125882663
PA-502,Vineyard,Sacramento River,0.8,16.85103927,1742.211218,9.614595983,16.996438574317466,44.853276104549536,42.978277884309534,282265.9785366053,284701.5124080845,2,Good,1000.1389125882663
PA-502,Almonds & Pistachios,Sacramento River,0.85,32.60965224,4899.886629,0.738,27.76342020673889,117.8406090778923,95.31151629569472,117920.29605249154,100395.75724737551,2,Good,1000.129317362164
PA-502,Vineyard,Sacramento River,0.85,16.85103927,1742.211218,9.614595983,16.99644234930746,44.853276104549536,42.978287429988804,282265.9785366053,284701.57564164704,2,Good,1000.129317362164
PA-502,Almonds & Pistachios,Sacramento River,0.9,32.60965224,4899.886629,0.738,30.132982905183127,117.8406090778923,103.4461989794093,117920.29605249154,108964.37162139636,2,Good,1000.1178066994847
PA-502,Vineyard,Sacramento River,0.9,16.85103927,1742.211218,9.614595983,16.99644695915275,44.853276104549536,42.97829908674056,282265.9785366053,284701.65285958414,2,Good,1000.1178066994847
PA-502,Almonds & Pistachios,Sacramento River,0.95,32.60965224,4899.886629,0.738,32.606985957826105,117.8406090778923,111.93943493330364,117920.29605249154,117910.65446597624,2,Good,17.40706642921658
PA-502,Vineyard,Sacramento River,0.95,16.85103927,1742.211218,9.614595983,16.85370604408674,44.853276104549536,42.61975700643243,282265.9785366053,282310.6487545704,2,Good,17.40706642921658
PA-502,Almonds & Pistachios,Sacramento River,1.0,32.60965224,4899.886629,0.738,32.60965151496849,117.8406090778923,117.83735141307046,117920.29605249154,117920.29343069324,2,Good,0.007720108272204086
PA-502,Vineyard,Sacramento River,1.0,16.85103927,1742.211218,9.614595983,16.851040486991668,44.853276104549536,44.85209327231688,282265.9785366053,282265.9989220153,2,Good,0.007720108272204086
PA-503,Alfalfa,Sacramento River,0.5,2691.711112,268.0878386,6.327,1.124189940055675e-19,9522.224429551987,3.2007761901637176e-10,4565658.1945376955,1.9068417071764993e-16,7,Good,830.89541899397
PA-503,Almonds & Pistachios,Sacramento River,0.5,35086.97603,4715.418786,1.008,22848.142357727094,126792.8463525561,78437.42143410532,166773384.20312005,108600468.1764193,7,Good,830.89541899397
PA-503,Citrus & Subtropical,Sacramento River,0.5,4823.898921,1103.604192,3.661,4323.3152483041895,14341.195029546865,12210.336942853315,19489974.434930548,17467468.751631014,7,Good,830.89541899397
PA-503,Corn,Sacramento River,0.5,2768.171547,227.331246,5.7615,1.6348484824795069e-19,7825.275116320433,3.2007762398602186e-10,3625665.206496825,2.1412738192630812e-16,7,Good,830.89541899397
PA-503,Cucurbits,Sacramento River,0.5,139.9933662,202.6283347,12.01,133.8422397454892,275.97808115607677,250.6593625156983,340683.1381724607,325713.964127281,7,Good,830.89541899397
PA-503,Dry Beans,Sacramento River,0.5,44.18771134,1188.155228,1.27,1.751057783015179e-19,101.3582546689367,3.2007762303868954e-10,66677.36250730937,2.64227114346286e-16,7,Good,830.89541899397
PA-503,Grain,Sacramento River,0.5,9684.81857,199.4660006,2.8535,5.344312262362068e-19,7641.928508765225,3.2007763941052553e-10,5512368.548172787,3.041855519928322e-16,7,Good,830.89541899397
PA-503,Other Deciduous,Sacramento River,0.5,22202.87498,1905.459404,2.0455,19066.51130034355,73885.42631437593,60275.997490812566,86538307.65310934,74313962.59569517,7,Good,830.89541899397
PA-503,Pasture,Sacramento River,0.5,14849.15114,245.2727642,5.0,9.981706023685074e-20,58885.691212546226,3.200776183524041e-10,18210461.730656907,1.2241203139305145e-16,7,Good,830.89541899397
PA-503,Rice,Sacramento River,0.5,360.07939,536.9449146,4.726,8.678761152007232e-20,1632.7359843317952,3.2007762174082837e-10,913738.0601001513,2.202323876161766e-16,7,Good,830.89541899397
PA-503,Safflower,Sacramento River,0.5,221.8213511,563.5408044,1.0316,1.7137178313035227e-19,522.8345828791208,3.2007762019562464e-10,128955.55272315966,9.962676228027009e-17,7,Good,830.89541899397
PA-503,Sunflowers,Sacramento River,0.5,442.0364657,3732.028857,0.608,1.3953813862340811e-19,1270.1713011032025,3.200776248651349e-10,1003013.2502699238,3.1662229887673217e-16,7,Good,830.89541899397
PA-503,Tomato Processing,Sacramento River,0.5,70.63873048,94.64475294,43.174,37.35505497322533,188.37794264981247,94.63682135520331,288643.4551776223,152639.94783817045,7,Good,830.89541899397
PA-503,Truck Crops,Sacramento River,0.5,147.2391075,4569.754449,5.564927083,143.91955712594125,391.98506574794254,363.99025764955206,3744342.080980653,3659924.752143454,7,Good,830.89541899397
PA-503,Vineyard,Sacramento River,0.5,5.138410038,1715.19151,9.664853365,5.066100121384907,13.6771697270398,12.810463658215799,85179.80568797461,83981.11881770985,7,Good,830.89541899397
PA-503,Alfalfa,Sacramento River,0.55,2691.711112,268.0878386,6.327,6.876867110421356e-22,9522.224429551987,6.876867110422772e-09,4565658.1945376955,1.1664485291704672e-18,2,Good,693.2885114280261
PA-503,Almonds & Pistachios,Sacramento River,0.55,35086.97603,4715.418786,1.008,26257.22105366159,126792.8463525561,90140.75110478826,166773384.20312005,124804303.7719873,2,Good,693.2885114280261
PA-503,Citrus & Subtropical,Sacramento River,0.55,4823.898921,1103.604192,3.661,4464.168015350593,14341.195029546865,12608.14733747567,19489974.434930548,18036555.474587172,2,Good,693.2885114280261
PA-503,Corn,Sacramento River,0.55,2768.171547,227.331246,5.7615,6.876753423584623e-22,7825.275116320433,6.876753423585501e-09,3625665.206496825,9.006958274883493e-19,2,Good,693.2885114280261
PA-503,Cucurbits,Sacramento River,0.55,139.9933662,202.6283347,12.01,135.8466585013614,275.97808115607677,254.4132322169346,340683.1381724607,330591.85006215237,2,Good,693.2885114280261
