region,HR_Region,Shortage_%,IMPLAN_category,crop_class,basin,crop,p,y,xland,xlandsc,xwater,xwatersc,grev,grevsc,iterations,statussc,lambdawater
ANT01-IDs,Sacramento River,0.5,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,230.6169292,3.712617305931496e-22,662.8889632586987,3.7126173059322324e-09,982477.3184165967,1.5816541776407567e-18,2,Good,637.9594400609413
ANT01-IDs,Sacramento River,0.5,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,417.254489,3.712617305929237e-22,1763.595640312418,3.7126173059305946e-09,313984.0029725,2.793744522711751e-19,2,Good,637.9594400609413
ANT01-IDs,Sacramento River,0.5,Trees and Vine,Trees and vines,ANT,Walnuts,1949.323208,2.037882063,1854.420103,1274.5844829813673,6536.722008614954,4481.6033508873925,7366666.799564798,5063275.133196344,2,Good,637.9594400609413
ANT01-IDs,Sacramento River,0.51,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,230.6169292,4.075157184067215e-18,662.8889632586987,3.845032006240839e-09,982477.3184165967,1.7361039001851766e-14,7,Good,631.6188592779821
ANT01-IDs,Sacramento River,0.51,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,417.254489,4.2969313507012805e-19,1763.595640312418,3.845031961190209e-09,313984.0029725,3.233440841402714e-16,7,Good,631.6188592779821
ANT01-IDs,Sacramento River,0.51,Trees and Vine,Trees and vines,ANT,Walnuts,1949.323208,2.037882063,1854.420103,1300.0761726410424,6536.722008614954,4571.235417905166,7366666.799564798,5164540.63586046,7,Good,631.6188592779821
ANT01-IDs,Sacramento River,0.52,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,230.6169292,6.692959352418553e-18,662.8889632586987,5.5473269256515404e-08,982477.3184165967,2.851343472331459e-14,3,Good,624.5710820280237
ANT01-IDs,Sacramento River,0.52,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,417.254489,1.3544485222063057e-17,1763.595640312418,5.547325725317343e-08,313984.0029725,1.0192225129602451e-14,3,Good,624.5710820280237
ANT01-IDs,Sacramento River,0.52,Trees and Vine,Trees and vines,ANT,Walnuts,1949.323208,2.037882063,1854.420103,1325.567862240924,6536.722008614954,4660.867484766441,7366666.799564798,5265806.138287047,3,Good,624.5710820280237
ANT01-IDs,Sacramento River,0.53,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,230.6169292,2.1786227181607666e-08,662.8889632586987,1.609837371731078e-07,982477.3184165967,9.281397568709223e-05,5,Good,616.737231409501
ANT01-IDs,Sacramento River,0.53,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,417.254489,1.307105993769401e-17,1763.595640312418,6.326159016832858e-08,313984.0029725,9.835972603114743e-15,5,Good,616.737231409501
ANT01-IDs,Sacramento River,0.53,Trees and Vine,Trees and vines,ANT,Walnuts,1949.323208,2.037882063,1854.420103,1351.059551863932,6536.722008614954,4750.499551663135,7366666.799564798,5367071.640805504,5,Good,616.737231409501
ANT01-IDs,Sacramento River,0.54,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,230.6169292,1.2641573899461014e-07,662.8889632586987,3.7356212896109536e-07,982477.3184165967,0.0005385580177653192,7,Good,608.0296322953907
ANT01-IDs,Sacramento River,0.54,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,417.254489,1.6260986777965504e-17,1763.595640312418,5.6725760922245156e-08,313984.0029725,1.2236392550419042e-14,7,Good,608.0296322953907
ANT01-IDs,Sacramento River,0.54,Trees and Vine,Trees and vines,ANT,Walnuts,1949.323208,2.037882063,1854.420103,1376.551241469012,6536.722008614954,4840.131618482036,7366666.799564798,5468337.1432527425,7,Good,608.0296322953907
ANT01-IDs,Sacramento River,0.55,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,230.6169292,4.5116590576455116e-08,662.8889632586987,2.104138899977852e-07,982477.3184165967,0.00019220630107000453,3,Good,598.3510820760238
ANT01-IDs,Sacramento River,0.55,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,417.254489,7.783962124384047e-09,1763.595640312418,9.637731679181481e-08,313984.0029725,5.857431498598995e-06,3,Good,598.3510820760238
