region,crop,Shortage_%,xland,p,y,xlandsc,xwater,xwatersc,grev,grevsc,lambdawater
BANTA-CARBONA I.D.,Alfalfa,0.5,692.4817265,281,6.7,1.7924485585244402e-22,2863.3879501255306,1.7924485585255536e-09,1303735.346,3.374642901133964e-19,720.9093701610806
BANTA-CARBONA I.D.,Almonds & Pistachios,0.5,6944.405664,4883.344789,1.202182209,2519.452875855754,28639.45369734431,10364.510277562194,40768315.567165144,14790876.983463205,720.9093701610806
BANTA-CARBONA I.D.,Citrus & Subtropical,0.5,160.6387081,933,3.6,107.75777900025034,521.6687197067006,349.0648552730262,539553.2928,361936.82810604083,720.9093701610806
BANTA-CARBONA I.D.,Corn,0.5,282.9171526,59,27.1,1.792448558525552e-22,683.4795368215509,1.7924485585263405e-09,452356.23529214005,2.865946000226505e-19,720.9093701610806
BANTA-CARBONA I.D.,Cucurbits,0.5,324.6611668,203,12,301.6869992814791,746.5996259320906,692.0331811834178,790874.6023,734909.5302496831,720.9093701610806
BANTA-CARBONA I.D.,Dry Beans,0.5,1248.750059,1752,1.3,1.792448558524897e-22,2762.361701,1.7924485585256642e-09,2844153.1343783997,4.0824808368963053e-19,720.9093701610806
BANTA-CARBONA I.D.,Grain,0.5,72.81367026,164,2.5,1.792448558524524e-22,33.97899734514724,1.7924485585249948e-09,29853.604806599997,7.349039089950548e-20,720.9093701610806
BANTA-CARBONA I.D.,Other Deciduous,0.5,5966.793346,1941.520674,2.07538957,4807.546371746004,20560.59844055851,16524.60687915906,24042667.26,19371583.871477284,720.9093701610806
BANTA-CARBONA I.D.,Pasture,0.5,8.53927993,276,5,1.7924485585247517e-22,39.282284924693066,1.7924485585259397e-09,11784.206303399998,2.473579010764157e-19,720.9093701610806
BANTA-CARBONA I.D.,Safflower,0.5,52.20934812,574,1.3,1.7924485585244654e-22,125.59767726324469,1.7924485585252763e-09,38958.61556714401,1.337525114370956e-19,720.9093701610806
BANTA-CARBONA I.D.,Tomato Processing,0.5,750.894725,101,43.3,388.6215578626805,1786.8747878138583,922.4755329966152,3283887.9008424995,1699558.6590008603,720.9093701610806
BANTA-CARBONA I.D.,Truck Crops,0.5,43.2080525,555,22.8,38.54898104412302,115.26753339094934,102.58127928807005,546754.6963,487798.80613233265,720.9093701610806
BANTA-CARBONA I.D.,Vineyard,0.5,351.735675,1689.181611,10.69211111,332.9066556710621,1089.8475423605726,1028.9273419660742,6352668.997352641,6012599.633215786,720.9093701610806
BANTA-CARBONA I.D.,Alfalfa,0.55,692.4817265,281,6.7,9.43776607489054e-19,2863.3879501255306,2.7352399610753815e-09,1303735.346,1.776848218919642e-15,663.8388539
BANTA-CARBONA I.D.,Almonds & Pistachios,0.55,6944.405664,4883.344789,1.202182209,3069.0062380780532,28639.45369734431,12625.259635250859,40768315.567165144,18017123.544521727,663.8388539
BANTA-CARBONA I.D.,Citrus & Subtropical,0.55,160.6387081,933,3.6,120.35141090838417,521.6687197067006,389.8600010166908,539553.2928,404236.3189590808,663.8388539
BANTA-CARBONA I.D.,Corn,0.55,282.9171526,59,27.1,2.6536899924890772e-18,683.4795368215509,2.7352399875229017e-09,452356.23529214005,4.242984928990786e-15,663.8388539
BANTA-CARBONA I.D.,Cucurbits,0.55,324.6611668,203,12,305.67729755126294,746.5996259320906,701.1864387395838,790874.6023,744629.8968348765,663.8388539
BANTA-CARBONA I.D.,Dry Beans,0.55,1248.750059,1752,1.3,1.7651457129826835e-18,2762.361701,2.7352399703475737e-09,2844153.1343783997,4.02029587588936e-15,663.8388539
BANTA-CARBONA I.D.,Grain,0.55,72.81367026,164,2.5,8.229013492105787e-18,33.97899734514724,2.735240016267452e-09,29853.604806599997,3.373895531763373e-15,663.8388539
BANTA-CARBONA I.D.,Other Deciduous,0.55,5966.793346,1941.520674,2.07538957,4981.820020398817,20560.59844055851,17123.624197080677,24042667.26,20073804.16025221,663.8388539
BANTA-CARBONA I.D.,Pasture,0.55,8.53927993,276,5,1.6350952306217956e-18,39.282284924693066,2.7352399708689746e-09,11784.206303399998,2.256431418258078e-15,663.8388539
BANTA-CARBONA I.D.,Safflower,0.55,52.20934812,574,1.3,2.788358559449094e-18,125.59767726324469,2.7352399767229032e-09,38958.61556714401,2.080673157060914e-15,663.8388539
BANTA-CARBONA I.D.,Tomato Processing,0.55,750.894725,101,43.3,424.7724669485899,1786.8747878138583,1008.2873683222081,3283887.9008424995,1857657.429706268,663.8388539
BANTA-CARBONA I.D.,Truck Crops,0.55,43.2080525,555,22.8,38.83507930564989,115.26753339094934,103.34260487723662,546754.6963,491419.09353369375,663.8388539
BANTA-CARBONA I.D.,Vineyard,0.55,351.735675,1689.181611,10.69211111,333.5963565529986,1089.8475423605726,1031.059026879635,6352668.997352641,6025056.263923276,663.8388539
BANTA-CARBONA I.D.,Alfalfa,0.6,692.4817265,281,6.7,6.631772503182252e-21,2863.3879501255306,6.631772503179982e-08,1303735.346,1.2485638091741225e-17,582.8889057280475
BANTA-CARBONA I.D.,Almonds & Pistachios,0.6,6944.405664,4883.344789,1.202182209,3699.0607167869407,28639.45369734431,15217.174007905669,40768315.567165144,21715965.613277584,582.8889057280475
BANTA-CARBONA I.D.,Citrus & Subtropical,0.6,160.6387081,933,3.6,6.633157063033596e-13,521.6687197067006,6.632683386876843e-08,539553.2928,2.2279447943317245e-09,582.8889057280475
BANTA-CARBONA I.D.,Corn,0.6,282.9171526,59,27.1,6.631771710068902e-21,683.4795368215509,6.631771710065027e-08,452356.23529214005,1.0603539787229168e-17,582.8889057280475
