region,crop,hr,Shortage_%,xland,p,y,xlandsc,xwater,xwatersc,grev,grevsc,iterations,statussc,lambdawater
BANTA-CARBONA I.D.,Alfalfa,San Joaquin River,0.5,692.4817265,281.0,6.7,6.5154305449575926e-21,2863.3879501255306,6.515430544955545e-08,1303735.34648155,1.226660108699166e-17,3,Good,720.9093701748669
BANTA-CARBONA I.D.,Almonds & Pistachios,San Joaquin River,0.5,6944.405664,4883.344789,1.202182209,2519.4528757107755,28639.45369734431,10364.510277029769,40768315.567165144,14790876.982612086,3,Good,720.9093701748669
BANTA-CARBONA I.D.,Citrus & Subtropical,San Joaquin River,0.5,160.6387081,933.0,3.6,107.75777895388646,521.6687197067006,349.06485518743216,539553.29276628,361936.82795031386,3,Good,720.9093701748669
BANTA-CARBONA I.D.,Corn,San Joaquin River,0.5,282.9171526,59.0,27.1,6.515430544959587e-21,683.4795368215509,6.515430544956047e-08,452356.23529214005,1.0417521898335884e-17,3,Good,720.9093701748669
BANTA-CARBONA I.D.,Cucurbits,San Joaquin River,0.5,324.6611668,203.0,12.0,301.686999221372,746.5996259320906,692.0331811115806,790874.6023248,734909.5301032622,3,Good,720.9093701748669
BANTA-CARBONA I.D.,Dry Beans,San Joaquin River,0.5,1248.750059,1752.0,1.3,6.515430544958968e-21,2762.36170131648,6.515430544955618e-08,2844153.1343783997,1.4839544609198545e-17,3,Good,720.9093701748669
BANTA-CARBONA I.D.,Grain,San Joaquin River,0.5,72.81367026,164.0,2.5,7.395034933515291e-07,33.97899734514724,4.3495051658908927e-07,29853.604806599997,0.0003031964322741269,3,Good,720.9093701748669
BANTA-CARBONA I.D.,Other Deciduous,San Joaquin River,0.5,5966.793346,1941.520674,2.07538957,4807.546371661535,20560.59844055851,16524.60687893374,24042667.2585236,19371583.87113692,3,Good,720.9093701748669
BANTA-CARBONA I.D.,Pasture,San Joaquin River,0.5,8.53927993,276.0,5.0,6.515430544957723e-21,39.282284924693066,6.515430544955793e-08,11784.206303399998,8.991294152041657e-18,3,Good,720.9093701748669
BANTA-CARBONA I.D.,Safflower,San Joaquin River,0.5,52.20934812,574.0,1.3,6.5154305449584066e-21,125.59767726324469,6.51543054495537e-08,38958.61556714401,4.861814272647963e-18,3,Good,720.9093701748669
